Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
0,116.42307m,112.752914m
15.625u,116.413534m,113.280416m
31.250u,116.420388m,113.907456m
46.875u,116.377473m,114.517808m
62.500u,116.335154m,115.149915m
78.125u,116.278827m,115.864575m
93.750u,116.202831m,116.499662m
109.375u,116.178691m,117.03819m
125.000u,116.120279m,117.612183m
140.625u,116.039217m,118.184388m
156.250u,115.966797m,118.708313m
171.875u,115.855038m,119.222403m
187.500u,115.770698m,119.678974m
203.125u,115.657151m,120.080411m
218.750u,115.514398m,120.434165m
234.375u,115.410388m,120.65649m
250.000u,115.292072m,120.849311m
265.625u,115.163624m,120.98074m
281.250u,115.03011m,121.004879m
296.875u,114.89749m,120.954812m
312.500u,114.771128m,120.836198m
328.125u,114.627481m,120.65053m
343.750u,114.507079m,120.319128m
359.375u,114.392042m,119.93885m
375.000u,114.256144m,119.531155m
390.625u,114.131272m,119.066834m
406.250u,113.988817m,118.534565m
421.875u,113.863647m,117.98948m
437.500u,113.733113m,117.422938m
453.125u,113.578737m,116.777122m
468.750u,113.472044m,116.126835m
484.375u,113.365054m,115.496516m
500.000u,113.241076m,114.889145m
515.625u,113.108754m,114.23111m
531.250u,113.002956m,113.587976m
546.875u,112.914145m,113.005936m
562.500u,112.810135m,112.421215m
578.125u,112.7249m,111.87613m
593.750u,112.633109m,111.428797m
609.375u,112.542212m,111.013949m
625.000u,112.472475m,110.630393m
640.625u,112.398267m,110.38512m
656.250u,112.343431m,110.18604m
671.875u,112.290084m,110.058188m
687.500u,112.206042m,110.024214m
703.125u,112.186968m,110.013783m
718.750u,112.130642m,110.113621m
734.375u,112.067461m,110.253394m
750.000u,112.110376m,110.391378m
765.625u,112.085938m,110.654533m
781.250u,112.065077m,110.981762m
796.875u,112.053156m,111.353695m
812.500u,112.00428m,111.838281m
828.125u,111.957788m,112.406015m
843.750u,111.907423m,113.017261m
859.375u,111.944079m,113.572478m
875.000u,111.959875m,114.116073m
890.625u,111.975968m,114.678741m
906.250u,112.018585m,115.214884m
921.875u,112.02246m,115.768909m
937.500u,112.061501m,116.316378m
953.125u,112.079084m,116.863549m
968.750u,112.137198m,117.350221m
984.375u,112.204254m,117.739141m
1.000m,112.257898m,118.112266m
1.016m,112.329721m,118.475854m
1.031m,112.334788m,118.776858m
1.047m,112.407207m,119.01468m
1.063m,112.484992m,119.222999m
1.078m,112.506747m,119.403899m
1.094m,112.562776m,119.543374m
1.109m,112.610757m,119.592249m
1.125m,112.67364m,119.586587m
1.141m,112.757385m,119.548738m
1.156m,112.79881m,119.432807m
1.172m,112.837255m,119.303763m
1.187m,112.906396m,119.152069m
1.203m,112.935901m,118.913949m
1.219m,112.981796m,118.632317m
1.234m,113.060474m,118.274987m
1.250m,113.121867m,117.911398m
1.266m,113.189518m,117.541254m
1.281m,113.269985m,117.084086m
1.297m,113.352239m,116.614997m
1.313m,113.404691m,116.136372m
1.328m,113.484263m,115.680397m
1.344m,113.602877m,115.174055m
1.359m,113.658905m,114.682019m
1.375m,113.738179m,114.248395m
1.391m,113.863051m,113.756061m
1.406m,113.955736m,113.254488m
