Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
0,112.665594m,117.653608m
15.625u,112.633109m,117.456317m
31.250u,112.626851m,117.093027m
46.875u,112.624466m,116.711855m
62.500u,112.62387m,116.198957m
78.125u,112.6495m,115.555823m
93.750u,112.661123m,114.897192m
109.375u,112.692118m,114.212036m
125.000u,112.711787m,113.528669m
140.625u,112.738609m,112.773776m
156.250u,112.760663m,112.014413m
171.875u,112.77169m,111.3379m
187.500u,112.84709m,110.720098m
203.125u,112.873316m,110.163391m
218.750u,112.897754m,109.657347m
234.375u,112.945139m,109.27707m
250.000u,112.961233m,109.042823m
265.625u,112.969577m,108.840764m
281.250u,112.98269m,108.774602m
296.875u,112.999976m,108.872056m
312.500u,112.998784m,109.033883m
328.125u,113.00981m,109.333396m
343.750u,113.001764m,109.727085m
359.375u,112.989545m,110.210776m
375.000u,112.989545m,110.778809m
390.625u,112.990141m,111.358762m
406.250u,113.011003m,111.965239m
421.875u,113.030672m,112.539828m
437.500u,113.035142m,113.144517m
453.125u,113.038123m,113.811195m
468.750u,113.099813m,114.459395m
484.375u,113.109052m,115.123689m
500.000u,113.092363m,115.782619m
515.625u,113.115311m,116.441548m
531.250u,113.094151m,117.076635m
546.875u,113.112926m,117.64437m
562.500u,113.121867m,118.174553m
578.125u,113.105774m,118.665397m
593.750u,113.123059m,119.123459m
609.375u,113.131702m,119.50314m
625.000u,113.141537m,119.806528m
640.625u,113.172531m,120.074153m
656.250u,113.193095m,120.267868m
671.875u,113.209486m,120.3385m
687.500u,113.245845m,120.322704m
703.125u,113.285482m,120.232999m
718.750u,113.319457m,120.072961m
734.375u,113.370717m,119.839907m
750.000u,113.439262m,119.490623m
765.625u,113.484859m,119.102299m
781.250u,113.52241m,118.713677m
796.875u,113.572776m,118.268728m
812.500u,113.616884m,117.75732m
828.125u,113.663971m,117.239356m
843.750u,113.711059m,116.675496m
859.375u,113.762021m,116.097629m
875.000u,113.824606m,115.596652m
890.625u,113.8556m,115.074515m
906.250u,113.898218m,114.561617m
921.875u,113.945007m,114.085376m
937.500u,113.963187m,113.689899m
953.125u,113.978386m,113.34151m
968.750u,114.022791m,112.943947m
984.375u,114.085376m,112.649798m
1.000m,114.096701m,112.373531m
1.016m,114.15422m,112.097263m
1.031m,114.214122m,111.911893m
1.047m,114.192665m,111.759305m
1.063m,114.237964m,111.660361m
1.078m,114.322603m,111.53996m
1.094m,114.379227m,111.410916m
1.109m,114.440322m,111.375153m
1.125m,114.468634m,111.430585m
1.141m,114.522278m,111.537576m
1.156m,114.609897m,111.622512m
1.172m,114.651918m,111.774206m
1.187m,114.708245m,111.99683m
1.203m,114.764571m,112.188756m
1.219m,114.818215m,112.497211m
1.234m,114.899874m,112.813711m
1.250m,114.944279m,113.08372m
1.266m,114.990175m,113.483667m
1.281m,115.021467m,113.887191m
1.297m,115.045011m,114.290714m
1.313m,115.095675m,114.793479m
1.328m,115.132034m,115.239024m
1.344m,115.185678m,115.62556m
1.359m,115.204453m,116.132796m
1.375m,115.222931m,116.589665m
1.391m,115.259588m,116.971433m
1.406m,115.262866m,117.366314m
1.422m,115.308464m,117.670894m
1.437m,115.320385m,117.966831m
1.453m,115.314424m,118.201673m
1.469m,115.357935m,118.374228m
1.484m,115.36181m,118.545294m
1.500m,115.377903m,118.641853m
1.516m,115.399361m,118.67255m
1.531m,115.399957m,118.620694m
1.547m,115.436316m,118.556023m
1.563m,115.440786m,118.501484m
1.578m,115.432739m,118.294656m
1.594m,115.439296m,118.0619m
1.609m,115.413666m,117.884874m
1.625m,115.430355m,117.574334m
1.641m,115.406513m,117.241442m
1.656m,115.391314m,116.915107m
1.672m,115.431249m,116.519332m
1.687m,115.393102m,116.097033m
1.703m,115.410388m,115.638673m
1.719m,115.397274m,115.201175m
1.734m,115.354955m,114.824176m
1.750m,115.353763m,114.465654m
1.766m,115.311444m,114.108324m
1.781m,115.280747m,113.860071m
1.797m,115.223229m,113.62493m
1.813m,115.197897m,113.374293m
1.828m,115.195811m,113.198757m
1.844m,115.145445m,112.955868m
1.859m,115.111768m,112.733841m
1.875m,115.081966m,112.621188m
1.891m,115.047395m,112.631619m
1.906m,115.007162m,112.686455m
1.922m,114.940107m,112.689435m
1.937m,114.901364m,112.773478m
1.953m,114.853084m,112.910867m
1.969m,114.796162m,113.025308m
1.984m,114.777386m,113.156736m
2.000m,114.716291m,113.320053m
2.016m,114.693642m,113.470256m
2.031m,114.682317m,113.614202m
2.047m,114.609003m,113.773942m
2.063m,114.575028m,113.98226m
2.078m,114.524364m,114.207566m
2.094m,114.499331m,114.460588m
2.109m,114.466846m,114.784837m
2.125m,114.377439m,115.085244m
2.141m,114.324689m,115.378201m
2.156m,114.28386m,115.640163m
2.172m,114.254951m,115.854144m
2.188m,114.21293m,116.08392m
2.203m,114.180148m,116.311908m
2.219m,114.137828m,116.517246m
2.234m,114.083886m,116.743147m
2.250m,114.052296m,116.982162m
2.266m,114.021897m,117.169619m
2.281m,113.994777m,117.350519m
2.297m,113.945901m,117.482841m
2.312m,113.916397m,117.520988m
2.328m,113.90239m,117.556453m
2.344m,113.90686m,117.540061m
2.359m,113.881826m,117.492974m
2.375m,113.839507m,117.411613m
2.391m,113.85262m,117.180943m
2.406m,113.869607m,116.870999m
2.422m,113.894641m,116.567016m
2.437m,113.888979m,116.336048m
2.453m,113.868415m,116.060674m
2.469m,113.889575m,115.742087m
2.484m,113.880634m,115.493834m
2.500m,113.892257m,115.211308m
2.516m,113.933086m,114.903748m
2.531m,113.930702m,114.607811m
2.547m,113.94918m,114.383698m
2.563m,113.956928m,114.216506m
2.578m,113.973022m,114.032924m
2.594m,113.984644m,113.90835m
2.609m,113.994777m,113.849342m
2.625m,114.032626m,113.795102m
2.641m,114.029944m,113.801658m
2.656m,114.042163m,113.838911m
2.672m,114.02607m,113.95812m
2.688m,114.002526m,114.166439m
2.703m,114.009082m,114.266276m
2.719m,114.012063m,114.320517m
2.734m,114.040673m,114.359558m
2.750m,114.063919m,114.387572m
2.766m,114.061832m,114.46476m
2.781m,114.070475m,114.56579m
2.797m,114.05617m,114.672184m
2.812m,114.055872m,114.808679m
2.828m,114.088655m,114.982426m
2.844m,114.087164m,115.128458m
2.859m,114.109814m,115.30906m
2.875m,114.1119m,115.567148m
2.891m,114.114285m,115.863085m
2.906m,114.08329m,116.235018m
